Nom,Catégorie,Prix
Mule,Commerciale,125000
Phantom,Commerciale,125000
Pounder,Commerciale,125000
Bmx,Velo,200
Cruiser,Velo,200
Fixter,Velo,250
Scorcher,Velo,300
Tribike,Velo,300
Asbo,Compact,5000
Blista,Compact,1500
Brioso,Compact,7000
Club,Compact,5000
Dilettante,Compact,1500
Kanjo,Compact,7000
Issy cabriolet,Compact,2000
Issy classique,Compact,6000
Panto,Compact,2000
Prairie,Compact,5500
Rhapsody,Compact,4500
Brioso Classique,Compact,4500
Weevil,Compact,5500
Cog Cabriolet,Coupés,190000
Exemplar,Coupés,180000
F 620,Coupés,180000
Felon,Coupés,165000
Felon Cabriolet,Coupés,160000
Jackal,Coupés,170000
Oracle,Coupés,150000
Oracle sport,Coupés,170000
Sentinel,Coupés,175000
Sentinel Cabriolet,Coupés,165000
Windsor,Coupés,200000
Windsor Cabriolet,Coupés,200000
Zion,Coupés,160000
Zion Cabriolet,Coupés,165000
Previon,Coupées,180000
Guardian,Industriel,200000
Vetir,Militaire,250000
Akuma,Moto,110000
Avarus,Moto,130000
Bagger,Moto,125000
Bati,Moto,150000
Bati Race,Moto,155000
BF400,Moto,120000
Carbon RS,Moto,155000
Chimera,Moto,120000
Cliffhanger,Moto,120000
Daemon Custom,Moto,130000
Daemon,Moto,130000
Defiler,Moto,125000
Deathbike,Moto,125000
Diablous,Moto,135000
Diablous Sport,Moto,135000
Double,Moto,150000
Enduro,Moto,110000
Esskey,Moto,115000
Faggio,Moto,1000
Faggio Classique,Moto,1000
Fcr,Moto,115000
Fcr Naked,Moto,115000
Gargoyle,Moto,135000
Hakuchou,Moto,150000
Hakuchou Custom,Moto,155000
Hexer,Moto,135000
Innovation,Moto,140000
Lectro,Moto,135000
Manchez,Moto,120000
Manchez Enduro,Moto,120000
Nemesis,Moto,130000
Nightblade,Moto,140000
PCJ,Moto,110000
Rat Bike,Moto,125000
Ruffian,Moto,125000
Rrocket,Moto,120000
Sanchez Race,Moto,115000
Sanchez,Moto,115000
Sanctus,Moto,135000
Sovereign,Moto,130000
Stryder,Moto,115000
Thrust,Moto,115000
Vader,Moto,110000
Vindicator,Moto,125000
Vortex,Moto,130000
Wolfsbane,Moto,130000
Zombie,Moto,125000
Zombie Custom,Moto,125000
Blade,Muscle,165000
Buccaneer,Muscle,175000
Buccaneer Cabriolet,Muscle,180000
Chino,Muscle,170000
Chino Cabriolet,Muscle,180000
Clique,Muscle,175000
Coquette,Muscle,185000
Deviant,Muscle,180000
Dominator,Muscle,195000
Dominator Race,Muscle,200000
Dominator New,Muscle,215000
Dukes,Muscle,180000
Dukes Custom,Muscle,190000
Faction,Muscle,180000
Faction Cabriolet,Muscle,180000
Faction Tuned,Muscle,190000
Ellie,Muscle,200000
Gauntlet,Muscle,195000
Gauntlet Race,Muscle,195000
Gauntlet Classic,Muscle,185000
Gauntlet New,Muscle,210000
Hermes,Muscle,195000
Hotknife,Muscle,185000
Hustler,Muscle,180000
Impaler,Muscle,185000
Lurcher,Muscle,165000
Moonbeam,Muscle,170000
Moonbeam Custom,Muscle,175000
Nightshade,Muscle,185000
Peyote,Muscle,180000
Phoenix,Muscle,185000
Picador,Muscle,175000
Ratloader Vintage,Muscle,165000
Rat Loader,Muscle,190000
Ruiner,Muscle,195000
Sabre GT,Muscle,185000
Sabre GT Custom,Muscle,195000
Slamvan Pickup,Muscle,170000
Slamvan Pickup,Muscle,165000
Slamvan Custom,Muscle,190000
Stalion,Muscle,175000
Stalion Race,Muscle,180000
Tampa,Muscle,170000
Tulip,Muscle,170000
Vamos,Muscle,170000
Vigero,Muscle,165000
Virgo,Muscle,165000
Virgo Custom,Muscle,155000
Virgo Luxe,Muscle,165000
Voodoo,Muscle,160000
Voodoo Vintage,Muscle,150000
Yosemite,Muscle,150000
Yosemite Drift,Muscle,150000
Yosemite 4x4,Muscle,150000
Dominator Sport,Muscle,220000
Bifta Injection,Off-Road,100000
Bifta,Off-Road,120000
Blazer,Off-Road,110000
Blazer 4x4,Off-Road,100000
Blazer Custom,Off-Road,100000
Blazer Sport,Off-Road,130000
Bodhi,Off-Road,100000
Brawler,Off-Road,115000
Caracara,Off-Road,145000
Dloader,Off-Road,100000
Dubsta 6x6,Off-Road,165000
Dune,Off-Road,100000
Everon,Off-Road,140000
Freecrawler,Off-Road,140000
Hellion,Off-Road,130000
Kalahari,Off-Road,120000
Kamacho,Off-Road,150000
Marshall,Off-Road,180000
Mesa,Off-Road,165000
Monster,Off-Road,180000
Outlaw,Off-Road,140000
Rancher XL,Off-Road,110000
Rebel Vintage,Off-Road,110000
Rebel,Off-Road,125000
Riata,Off-Road,125000
Sandking,Off-Road,135000
Sandking Sport,Off-Road,140000
Trophy Truck,Off-Road,145000
Trophy Truck Sport,Off-Road,145000
Vagrant,Off-Road,160000
Verus,Off-Road,110000
Winky,Off-Road,130000
Baller Vintage,SUVs,170000
Baller,SUVs,180000
Baller Sport,SUVs,190000
Baller Sport Long,SUVs,200000
BJXL,SUVs,170000
Cavalcade,SUVs,170000
Cavalcade Long,SUVs,175000
Contender,SUVs,200000
Dubsta,SUVs,180000
Dubsta Sport,SUVs,180000
FQ2,SUVs,190000
Granger,SUVs,170000
Gresley,SUVs,175000
Habanero,SUVs,170000
Huntley,SUVs,175000
Landstalker,SUVs,170000
Landstalker Sport,SUVs,185000
Mesa,SUVs,175000
Novak,SUVs,220000
Patriot,SUVs,200000
Patriot Limousine,SUVs,200000
Radi,SUVs,170000
Rebla,SUVs,195000
Rocoto,SUVs,185000
Seminole,SUVs,170000
Seminole Vintage,SUVs,170000
Serrano,SUVs,180000
Toros,SUVs,220000
XLS,SUVs,175000
XLS Luxe,SUVs,190000
Squaddie,SUVs,220000
Asea,Sedan,70000
Asterope,Sedan,75000
Cog 55,Sedan,80000
Cognoscenti,Sedan,85000
Emperor,Sedan,75000
Emperor Vintage,Sedan,70000
Fugitive,Sedan,90000
Glendale,Sedan,75000
Glendale Classic,Sedan,80000
Ingot,Sedan,70000
Intruder,Sedan,85000
Premier,Sedan,70000
Primo,Sedan,75000
Primo Sport,Sedan,85000
Regina,Sedan,70000
Romero,Sedan,75000
Stafford,Sedan,90000
Stanier,Sedan,70000
Stratum,Sedan,70000
Stretch,Sedan,90000
Super D,Sedan,90000
Surge,Sedan,75000
Taligater,Sedan,80000
Warrener,Sedan,85000
Washington,Sedan,80000
Tailgater Sport,Sedan,90000
Alpha,Sportive,415000
Banshee,Sportive,410000
Bestia GTS,Sportive,480000
Blista Classic,Sportive,350000
Blista Race,Sportive,350000
Buffalo,Sportive,400000
Buffalo Sport,Sportive,420000
Buffalo Race,Sportive,450000
Carbonizzare,Sportive,425000
Comet,Sportive,430000
Comet Classique,Sportive,400000
Comet SR,Sportive,480000
Comet GT,Sportive,500000
Coquette,Sportive,480000
Coquette Sport,Sportive,500000
Drafter,Sportive,435000
Deveste,Sportive,500000
Elegy Retro,Sportive,440000
Elegy,Sportive,450000
Flash GT,Sportive,410000
Furore GT,Sportive,415000
Fusilade,Sportive,410000
Futo,Sportive,410000
GB 200,Sportive,400000
Komoda,Sportive,0
Imorgon,Sportive,425000
Issi Sport,Sportive,390000
Itali GTO,Sportive,500000
Jugular,Sportive,410000
Jester,Sportive,420000
Jester Race,Sportive,425000
Jester Retro,Sportive,430000
Khamelion,Sportive,425000
Kuruma,Sportive,420000
Locust,Sportive,430000
Lynx,Sportive,410000
Massacro,Sportive,410000
Massacro Race,Sportive,420000
Neo,Sportive,435000
Neon,Sportive,500000
Nine F,Sportive,425000
Nine F Cabriolet,Sportive,425000
Omnis,Sportive,390000
Paragon,Sportive,410000
Pariah,Sportive,420000
Penumbra,Sportive,400000
Penumbra GT,Sportive,410000
Rapid GT,Sportive,415000
Rapid GT Cabriolet,Sportive,415000
Raptor,Sportive,350000
Ruston,Sportive,410000
Schafter Classique,Sportive,400000
Schafter,Sportive,415000
Schafter V12,Sportive,430000
Schlagen,Sportive,435000
Schwarzer,Sportive,430000
Sentinel Retro,Sportive,390000
Seven 70,Sportive,500000
Specter,Sportive,475000
Specter Sport,Sportive,500000
Streiter,Sportive,350000
Sugoi,Sportive,400000
Sultan,Sportive,400000
Sultan Retro,Sportive,410000
Surano,Sportive,415000
Tampa Drift,Sportive,350000
Tropos,Sportive,390000
Verlierer,Sportive,390000
VSTR,Sportive,415000
Itali RSX,Sportive,430000
Zr 350,Sportive,425000
Calico,Sportive,415000
Futo Sport,Sportive,400000
Euros,Sportive,420000
Jester GT,Sportive,425000
Remus,Sportive,410000
Growler,Sportive,425000
Vectre,Sportive,425000
Cypher,Sportive,430000
Sultan Retro Custom,Sportive,400000
RT 3000,Sportive,410000
Arden,Sportive Classique,0
B Type,Sportive Classique,0
B Type Sport,Sportive Classique,0
B Type Luxe,Sportive Classique,0
Casco,Sportive Classique,0
Cheetah Retro,Sportive Classique,0
Coquette Retro,Sportive Classique,0
Dynasty,Sportive Classique,0
Fagaloa,Sportive Classique,0
Feltzer Retro,Sportive Classique,0
GT 500,Sportive Classique,0
Infernus Retro,Sportive Classique,0
JB 700,Sportive Classique,0
Mamba,Sportive Classique,0
Manana,Sportive Classique,0
Michelli,Sportive Classique,0
Monroe,Sportive Classique,0
Nebula,Sportive Classique,0
Peyote Cabriolet,Sportive Classique,0
Peyote,Sportive Classique,0
Pigalle,Sportive Classique,0
Rapid GT Retro,Sportive Classique,0
Retinue,Sportive Classique,0
Retinue Sport,Sportive Classique,0
Savestra,Sportive Classique,0
Stinger,Sportive Classique,0
Stinger GT,Sportive Classique,0
Stromberg,Sportive Classique,0
Swinger,Sportive Classique,0
Torero,Sportive Classique,0
Tornado,Sportive Classique,0
Tornado Cabriolet,Sportive Classique,0
Tornado Classique,Sportive Classique,0
Tornado Classique Cabriolet,Sportive Classique,0
Tornado Luxe,Sportive Classique,0
Tornado Drag,Sportive Classique,0
Turismo Retro,Sportive Classique,0
Viseris,Sportive Classique,0
Z 190,Sportive Classique,0
Z Type,Sportive Classique,0
Zion Retro,Sportive Classique,0
Cheburek,Sportive Classique,0
Toreador,Sportive Classique,0
Adder,Supercar,0
Autarch,Supercar,0
Banshee GT,Supercar,0
Bullet,Supercar,0
Cheetah Retro,Supercar,0
Cyclone,Supercar,0
Entity RS,Supercar,0
Entity XF,Supercar,0
Emerus,Supercar,0
FMJ,Supercar,0
Furia,Supercar,0
GP 1,Supercar,0
Infernus,Supercar,0
Itali GTB,Supercar,0
Itali GTB Sport,Supercar,0
Krieger,Supercar,0
RE-7B,Supercar,0
Nero,Supercar,0
Nero Custom,Supercar,0
Osiris,Supercar,0
Penetrator,Supercar,0
Pfister 811,Supercar,0
X-80 Proto,Supercar,0
Reaper,Supercar,0
S 80,Supercar,0
SC 1,Supercar,0
Sheava,Supercar,0
Sultan RS,Supercar,0
T 20,Supercar,0
Taipan,Supercar,0
Tempesta,Supercar,0
Tezeract,Supercar,0
Thrax,Supercar,0
Tigon,Supercar,0
Turismo R,Supercar,0
Tyrant,Supercar,0
Tyrus,Supercar,0
Vacca,Supercar,0
Vagner,Supercar,0
Visione,Supercar,0
Voltic,Supercar,0
XA 21,Supercar,0
Zentorno,Supercar,0
Zorrusso,Supercar,0
Sadler,Utilitaire,0
Bison,Vans,0
Bobcat XL,Vans,0
Burrito,Vans,0
Burrito Custom,Vans,0
Camper,Vans,0
Journey,Vans,0
Minivan,Vans,0
Minivan Custom,Vans,0
Paradise,Vans,0
Pony,Vans,0
Rumpo,Vans,0
Rumpo Custom,Vans,0
Speedo,Vans,0
Speedo Custom,Vans,0
Surfer,Vans,0
Youga,Vans,0
Youga Custom,Vans,0
